2024-07-30 17:12:50,504 - INFO: N_I=1, N_O=4, N_R=2, N_T=5, count=0, TOPSIS, Execution time: 0.005010 seconds
2024-07-30 17:12:50,521 - INFO: N_I=1, N_O=4, N_R=2, N_T=5, count=0, TOPSIS, Execution time: 0.006804 seconds
2024-07-30 17:12:50,550 - INFO: N_I=1, N_O=4, N_R=2, N_T=5, count=1, TOPSIS, Execution time: 0.010911 seconds
2024-07-30 17:12:50,567 - INFO: N_I=1, N_O=9, N_R=2, N_T=7, count=2, TOPSIS, Execution time: 0.026135 seconds
2024-07-30 17:12:50,581 - INFO: N_I=1, N_O=4, N_R=2, N_T=5, count=1, TOPSIS, Execution time: 0.012183 seconds
2024-07-30 17:12:50,608 - INFO: N_I=1, N_O=4, N_R=2, N_T=5, count=2, TOPSIS, Execution time: 0.005794 seconds
2024-07-30 17:12:50,614 - INFO: N_I=1, N_O=9, N_R=2, N_T=7, count=3, TOPSIS, Execution time: 0.027178 seconds
2024-07-30 17:12:50,638 - INFO: N_I=1, N_O=4, N_R=2, N_T=5, count=2, TOPSIS, Execution time: 0.005468 seconds
2024-07-30 17:12:50,669 - INFO: N_I=1, N_O=9, N_R=2, N_T=7, count=3, TOPSIS, Execution time: 0.031768 seconds
2024-07-30 17:12:50,674 - INFO: N_I=1, N_O=4, N_R=2, N_T=5, count=3, TOPSIS, Execution time: 0.008893 seconds
2024-07-30 17:12:50,701 - INFO: N_I=1, N_O=9, N_R=2, N_T=7, count=4, TOPSIS, Execution time: 0.008345 seconds
2024-07-30 17:12:50,701 - INFO: N_I=1, N_O=4, N_R=2, N_T=5, count=3, TOPSIS, Execution time: 0.007256 seconds
2024-07-30 17:12:50,731 - INFO: N_I=1, N_O=4, N_R=2, N_T=5, count=4, TOPSIS, Execution time: 0.007517 seconds
2024-07-30 17:12:50,748 - INFO: N_I=1, N_O=9, N_R=2, N_T=7, count=4, TOPSIS, Execution time: 0.023909 seconds
2024-07-30 17:12:50,760 - INFO: N_I=1, N_O=4, N_R=2, N_T=5, count=4, TOPSIS, Execution time: 0.008373 seconds
2024-07-30 17:12:50,789 - INFO: N_I=1, N_O=4, N_R=2, N_T=6, count=0, TOPSIS, Execution time: 0.007160 seconds
2024-07-30 17:12:50,794 - INFO: N_I=1, N_O=9, N_R=2, N_T=8, count=0, TOPSIS, Execution time: 0.025556 seconds
2024-07-30 17:12:50,824 - INFO: N_I=1, N_O=4, N_R=2, N_T=6, count=0, TOPSIS, Execution time: 0.009952 seconds
2024-07-30 17:12:50,843 - INFO: N_I=1, N_O=9, N_R=2, N_T=8, count=0, TOPSIS, Execution time: 0.024128 seconds
2024-07-30 17:12:50,867 - INFO: N_I=1, N_O=4, N_R=2, N_T=6, count=1, TOPSIS, Execution time: 0.014743 seconds
2024-07-30 17:12:50,894 - INFO: N_I=1, N_O=9, N_R=2, N_T=8, count=1, TOPSIS, Execution time: 0.020274 seconds
2024-07-30 17:12:50,899 - INFO: N_I=1, N_O=4, N_R=2, N_T=6, count=1, TOPSIS, Execution time: 0.009779 seconds
2024-07-30 17:12:50,931 - INFO: N_I=1, N_O=4, N_R=2, N_T=6, count=2, TOPSIS, Execution time: 0.008807 seconds
2024-07-30 17:12:50,949 - INFO: N_I=1, N_O=9, N_R=2, N_T=8, count=1, TOPSIS, Execution time: 0.027236 seconds
2024-07-30 17:12:50,955 - INFO: N_I=1, N_O=4, N_R=2, N_T=6, count=2, TOPSIS, Execution time: 0.008080 seconds
2024-07-30 17:12:50,985 - INFO: N_I=1, N_O=4, N_R=2, N_T=6, count=3, TOPSIS, Execution time: 0.009905 seconds
2024-07-30 17:12:50,991 - INFO: N_I=1, N_O=9, N_R=2, N_T=8, count=2, TOPSIS, Execution time: 0.017624 seconds
2024-07-30 17:12:51,015 - INFO: N_I=1, N_O=4, N_R=2, N_T=6, count=3, TOPSIS, Execution time: 0.011132 seconds
2024-07-30 17:12:51,042 - INFO: N_I=1, N_O=4, N_R=2, N_T=6, count=4, TOPSIS, Execution time: 0.005213 seconds
2024-07-30 17:12:51,049 - INFO: N_I=1, N_O=9, N_R=2, N_T=8, count=2, TOPSIS, Execution time: 0.030402 seconds
2024-07-30 17:12:51,080 - INFO: N_I=1, N_O=9, N_R=2, N_T=8, count=3, TOPSIS, Execution time: 0.002717 seconds
2024-07-30 17:12:51,086 - INFO: N_I=1, N_O=4, N_R=2, N_T=6, count=4, TOPSIS, Execution time: 0.011165 seconds
2024-07-30 17:12:51,115 - INFO: N_I=1, N_O=4, N_R=2, N_T=7, count=0, TOPSIS, Execution time: 0.008188 seconds
2024-07-30 17:12:51,143 - INFO: N_I=1, N_O=9, N_R=2, N_T=8, count=3, TOPSIS, Execution time: 0.036729 seconds
2024-07-30 17:12:51,160 - INFO: N_I=1, N_O=4, N_R=2, N_T=7, count=0, TOPSIS, Execution time: 0.012381 seconds
2024-07-30 17:12:51,172 - INFO: N_I=1, N_O=9, N_R=2, N_T=8, count=4, TOPSIS, Execution time: 0.012819 seconds
2024-07-30 17:12:51,217 - INFO: N_I=1, N_O=4, N_R=2, N_T=7, count=1, TOPSIS, Execution time: 0.017102 seconds
2024-07-30 17:12:51,240 - INFO: N_I=1, N_O=9, N_R=2, N_T=8, count=4, TOPSIS, Execution time: 0.035655 seconds
2024-07-30 17:12:51,264 - INFO: N_I=1, N_O=4, N_R=2, N_T=7, count=1, TOPSIS, Execution time: 0.017256 seconds
2024-07-30 17:12:51,299 - INFO: N_I=1, N_O=4, N_R=2, N_T=7, count=2, TOPSIS, Execution time: 0.012533 seconds
2024-07-30 17:12:51,302 - INFO: N_I=1, N_O=9, N_R=2, N_T=9, count=0, TOPSIS, Execution time: 0.028279 seconds
2024-07-30 17:12:51,336 - INFO: N_I=1, N_O=4, N_R=2, N_T=7, count=2, TOPSIS, Execution time: 0.013419 seconds
2024-07-30 17:12:51,361 - INFO: N_I=1, N_O=9, N_R=2, N_T=9, count=0, TOPSIS, Execution time: 0.037231 seconds
2024-07-30 17:12:51,374 - INFO: N_I=1, N_O=4, N_R=2, N_T=7, count=3, TOPSIS, Execution time: 0.012359 seconds
2024-07-30 17:12:51,416 - INFO: N_I=1, N_O=9, N_R=2, N_T=9, count=1, TOPSIS, Execution time: 0.027660 seconds
2024-07-30 17:12:51,458 - INFO: N_I=1, N_O=4, N_R=2, N_T=7, count=4, TOPSIS, Execution time: 0.017324 seconds
2024-07-30 17:12:51,546 - INFO: N_I=1, N_O=4, N_R=2, N_T=7, count=4, TOPSIS, Execution time: 0.039487 seconds
2024-07-30 17:12:51,559 - INFO: N_I=1, N_O=9, N_R=2, N_T=9, count=1, TOPSIS, Execution time: 0.107754 seconds
2024-07-30 17:12:51,582 - INFO: N_I=1, N_O=4, N_R=2, N_T=8, count=0, TOPSIS, Execution time: 0.016928 seconds
2024-07-30 17:12:51,615 - INFO: N_I=1, N_O=9, N_R=2, N_T=9, count=2, TOPSIS, Execution time: 0.029988 seconds
2024-07-30 17:12:51,615 - INFO: N_I=1, N_O=4, N_R=2, N_T=8, count=0, TOPSIS, Execution time: 0.003783 seconds
2024-07-30 17:12:51,657 - INFO: N_I=1, N_O=4, N_R=2, N_T=8, count=1, TOPSIS, Execution time: 0.009479 seconds
2024-07-30 17:12:51,678 - INFO: N_I=1, N_O=9, N_R=2, N_T=9, count=2, TOPSIS, Execution time: 0.029383 seconds
2024-07-30 17:12:51,708 - INFO: N_I=1, N_O=4, N_R=2, N_T=8, count=1, TOPSIS, Execution time: 0.018979 seconds
2024-07-30 17:12:51,731 - INFO: N_I=1, N_O=9, N_R=2, N_T=9, count=3, TOPSIS, Execution time: 0.023322 seconds
2024-07-30 17:12:51,739 - INFO: N_I=1, N_O=4, N_R=2, N_T=8, count=2, TOPSIS, Execution time: 0.015188 seconds
2024-07-30 17:12:51,794 - INFO: N_I=1, N_O=4, N_R=2, N_T=8, count=2, TOPSIS, Execution time: 0.018508 seconds
2024-07-30 17:12:51,809 - INFO: N_I=1, N_O=9, N_R=2, N_T=9, count=3, TOPSIS, Execution time: 0.050432 seconds
2024-07-30 17:12:51,848 - INFO: N_I=1, N_O=4, N_R=2, N_T=8, count=3, TOPSIS, Execution time: 0.025181 seconds
2024-07-30 17:12:51,879 - INFO: N_I=1, N_O=9, N_R=2, N_T=9, count=4, TOPSIS, Execution time: 0.028001 seconds
2024-07-30 17:12:51,891 - INFO: N_I=1, N_O=4, N_R=2, N_T=8, count=3, TOPSIS, Execution time: 0.015539 seconds
2024-07-30 17:12:51,938 - INFO: N_I=1, N_O=4, N_R=2, N_T=8, count=4, TOPSIS, Execution time: 0.013923 seconds
2024-07-30 17:12:51,962 - INFO: N_I=1, N_O=9, N_R=2, N_T=9, count=4, TOPSIS, Execution time: 0.049949 seconds
2024-07-30 17:12:51,989 - INFO: N_I=1, N_O=4, N_R=2, N_T=8, count=4, TOPSIS, Execution time: 0.025110 seconds
2024-07-30 17:12:52,016 - INFO: N_I=1, N_O=9, N_R=4, N_T=5, count=0, TOPSIS, Execution time: 0.023407 seconds
2024-07-30 17:12:52,047 - INFO: N_I=1, N_O=4, N_R=2, N_T=9, count=0, TOPSIS, Execution time: 0.032809 seconds
2024-07-30 17:12:52,058 - INFO: N_I=1, N_O=9, N_R=4, N_T=5, count=0, TOPSIS, Execution time: 0.016183 seconds
2024-07-30 17:12:52,084 - INFO: N_I=1, N_O=4, N_R=2, N_T=9, count=0, TOPSIS, Execution time: 0.016422 seconds
2024-07-30 17:12:52,114 - INFO: N_I=1, N_O=9, N_R=4, N_T=5, count=1, TOPSIS, Execution time: 0.021262 seconds
2024-07-30 17:12:52,127 - INFO: N_I=1, N_O=4, N_R=2, N_T=9, count=1, TOPSIS, Execution time: 0.021171 seconds
2024-07-30 17:12:52,161 - INFO: N_I=1, N_O=9, N_R=4, N_T=5, count=1, TOPSIS, Execution time: 0.017184 seconds
2024-07-30 17:12:52,164 - INFO: N_I=1, N_O=4, N_R=2, N_T=9, count=1, TOPSIS, Execution time: 0.014774 seconds
2024-07-30 17:12:52,197 - INFO: N_I=1, N_O=4, N_R=2, N_T=9, count=2, TOPSIS, Execution time: 0.007227 seconds
2024-07-30 17:12:52,199 - INFO: N_I=1, N_O=9, N_R=4, N_T=5, count=2, TOPSIS, Execution time: 0.014663 seconds
2024-07-30 17:12:52,239 - INFO: N_I=1, N_O=9, N_R=4, N_T=5, count=2, TOPSIS, Execution time: 0.013934 seconds
2024-07-30 17:12:52,241 - INFO: N_I=1, N_O=4, N_R=2, N_T=9, count=2, TOPSIS, Execution time: 0.015940 seconds
2024-07-30 17:12:52,275 - INFO: N_I=1, N_O=9, N_R=4, N_T=5, count=3, TOPSIS, Execution time: 0.012604 seconds
2024-07-30 17:12:52,275 - INFO: N_I=1, N_O=4, N_R=2, N_T=9, count=3, TOPSIS, Execution time: 0.014481 seconds
2024-07-30 17:12:52,314 - INFO: N_I=1, N_O=9, N_R=4, N_T=5, count=3, TOPSIS, Execution time: 0.017411 seconds
2024-07-30 17:12:52,322 - INFO: N_I=1, N_O=4, N_R=2, N_T=9, count=3, TOPSIS, Execution time: 0.025191 seconds
2024-07-30 17:12:52,358 - INFO: N_I=1, N_O=9, N_R=4, N_T=5, count=4, TOPSIS, Execution time: 0.018034 seconds
2024-07-30 17:12:52,380 - INFO: N_I=1, N_O=4, N_R=2, N_T=9, count=4, TOPSIS, Execution time: 0.019291 seconds
2024-07-30 17:12:52,397 - INFO: N_I=1, N_O=9, N_R=4, N_T=5, count=4, TOPSIS, Execution time: 0.016688 seconds
2024-07-30 17:12:52,428 - INFO: N_I=1, N_O=4, N_R=2, N_T=9, count=4, TOPSIS, Execution time: 0.019418 seconds
